budget,idi_ratio,seed
100,0.09,0
100,0.1,1
100,0.16,2
100,0.08,3
100,0.2,4
100,0.15,5
100,0.13,6
100,0.09,7
100,0.11,8
100,0.14,9
100,0.08,10
100,0.16,11
100,0.11,12
100,0.18,13
100,0.14,14
100,0.13,15
100,0.1,16
100,0.2,17
100,0.15,18
100,0.12,19
100,0.11,20
100,0.06,21
100,0.09,22
100,0.13,23
100,0.14,24
100,0.13,25
100,0.17,26
100,0.13,27
100,0.16,28
100,0.14,29
300,0.14333333333333334,0
300,0.1,1
300,0.11666666666666667,2
300,0.1,3
300,0.15333333333333332,4
300,0.16,5
300,0.13333333333333333,6
300,0.1,7
300,0.12666666666666668,8
300,0.1,9
300,0.09666666666666666,10
300,0.11666666666666667,11
300,0.11333333333333333,12
300,0.13666666666666666,13
300,0.12666666666666668,14
300,0.16,15
300,0.14,16
300,0.14333333333333334,17
300,0.11333333333333333,18
300,0.12,19
300,0.11666666666666667,20
300,0.10333333333333333,21
300,0.10333333333333333,22
300,0.13333333333333333,23
300,0.13333333333333333,24
300,0.15333333333333332,25
300,0.12333333333333334,26
300,0.13333333333333333,27
300,0.14,28
300,0.11666666666666667,29
500,0.14,0
500,0.11,1
500,0.13,2
500,0.114,3
500,0.138,4
500,0.148,5
500,0.138,6
500,0.11,7
500,0.116,8
500,0.116,9
500,0.112,10
500,0.14,11
500,0.12,12
500,0.13,13
500,0.132,14
500,0.156,15
500,0.138,16
500,0.124,17
500,0.118,18
500,0.12,19
500,0.126,20
500,0.118,21
500,0.114,22
500,0.126,23
500,0.13,24
500,0.15,25
500,0.142,26
500,0.128,27
500,0.134,28
500,0.124,29
1000,0.127,0
1000,0.114,1
1000,0.118,2
1000,0.126,3
1000,0.125,4
1000,0.142,5
1000,0.144,6
1000,0.129,7
1000,0.124,8
1000,0.128,9
1000,0.11,10
1000,0.144,11
1000,0.116,12
1000,0.133,13
1000,0.134,14
1000,0.15,15
1000,0.126,16
1000,0.139,17
1000,0.113,18
1000,0.136,19
1000,0.121,20
1000,0.113,21
1000,0.115,22
1000,0.115,23
1000,0.118,24
1000,0.129,25
1000,0.137,26
1000,0.127,27
1000,0.131,28
1000,0.125,29
